Total items in nomenclatures_v2: 458

[33] ID: 5ed48f4a-1b30-4d18-91c4-8469f6027a1f | code: V2-90033 | group_id: 'grp_paint' | rule_type: 'generic' | name: 'Розчинник акриловий'
[34] ID: e74864a8-3892-4960-965b-f7fbdde6a1a8 | code: V2-90034 | group_id: 'grp_paint' | rule_type: 'generic' | name: 'Розчинник органічний(нітро) для промивки'
[35] ID: 5b967982-39aa-4aeb-b8b9-1a0fd58f6d90 | code: V2-90035 | group_id: 'grp_paint' | rule_type: 'paint' | name: 'Фарба поліуретанова 7525 SELEMIX RAL 2016'
[36] ID: 2e4d14f6-e85f-479b-b28c-0bee6737cc40 | code: V2-90036 | group_id: 'grp_paint' | rule_type: 'paint' | name: 'Фарба поліуретанова 7525 SELEMIX RAL 3020'
[37] ID: 1aef3143-eada-4a76-97ba-9933f15a2b38 | code: V2-90037 | group_id: 'grp_paint' | rule_type: 'paint' | name: 'Фарба поліуретанова 7525 SELEMIX RAL 7024'
[38] ID: 8e06233b-f7c2-4f9d-bf0c-f0feafe2fa73 | code: V2-90038 | group_id: 'grp_paint' | rule_type: 'paint' | name: 'Фарба поліуретанова 7525 SELEMIX RAL 7040'
[39] ID: 4226264b-1623-4549-bfd9-1a24cce6d144 | code: V2-90039 | group_id: 'grp_paint' | rule_type: 'paint' | name: 'Фарба поліуретанова 7525 SELEMIX RAL 9005'
[40] ID: 8fe39a64-9668-47de-950d-f10a15a3906e | code: V2-90040 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двопера 3,175х3,175х42х65'
[41] ID: e05d84b7-45f8-45fa-bd58-372c2f2795be | code: V2-90041 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двопера 3,175х3,175х52х75'
[42] ID: 6bb9546e-96d1-46e0-ac6a-85665ab20372 | code: V2-90042 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двопера 3х4х6х50'
[43] ID: be9d9fdd-16a9-4475-bd81-08ad6345dd52 | code: V2-90043 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двохпера 1,5х4х6х50'
[44] ID: 9718708f-5137-4c23-844c-2ab58842f69a | code: V2-90044 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двохпера 2х4х6х50'
[45] ID: 357703df-c1cf-4779-bd24-95f7e8146492 | code: V2-90045 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза двохпера 6х6х25х75'
[46] ID: 58567db7-99db-43f7-a3fc-8f3b1e815bfb | code: V2-90046 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 0,5х3,175х2х38'
[47] ID: 6bcaaa2c-63e9-4fd2-af4a-22bd528a9125 | code: V2-90047 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 0,5х3,175х4х38'
[48] ID: dedee0eb-4c80-4892-8e7f-06ebcd79ee27 | code: V2-90048 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 0,8х3,175х5х38'
[49] ID: 3cbe34ee-af46-459c-91d2-ec5f1cccc4dd | code: V2-90049 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 0,9х3,175х5х38'
[50] ID: f32df3e2-0e08-4b47-9f06-9c7f926fcbdd | code: V2-90050 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х3,175х6х50'
[51] ID: 44039f3e-61cd-45ca-8dc6-1aecc8cdabc6 | code: V2-90051 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х3,175х8,5х38'
[52] ID: 0444fadc-7a1e-4888-acf9-9a6f2f1718d3 | code: V2-90052 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х3,175х8х38'
[53] ID: 7cb4f3e4-2ae1-4764-a39e-1d603e4a2c7e | code: V2-90053 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х3,175х9х38'
[54] ID: 420c5327-acf5-4817-a8c3-52a2960fd7bf | code: V2-90054 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х3,175х9х50'
[55] ID: e83ac93e-4c47-42b2-9705-ef027afcc874 | code: V2-90055 | group_id: 'grp_mills' | rule_type: 'mill' | name: 'Фреза кукурудза 1,5х4х6х50'
