Станок ФЕЯ,,
ІП-72-F5-Х-2-63,,
Операція (1 сторона),Операція (2 сторона),Операція (2 сторона вирізка)
,№1 ф3 отвори для кріплення,
,№2  ф2 отвір 4.4мм під прес-гайку М3 (КОНТРОЛЬ ДІАМЕТРУ!),
,№3  ф2 отвори 3.3мм,
,№4  ф2 лінії 3мм,
,№5  ф2 отвори 3.3мм + лінії 3мм ПРОГОНКА,
,№6  ф2 контур + обтинання,
